date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:56	105105/105105	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20Mar%202023%2014:41:38%20GMT	https://fatfish.ca/wp-content/themes/fatfish/dist/scripts/frontend.min.js?ver=882073a9	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/themes/fatfish/dist/scripts/frontend.min8e32.js	(from https://fatfish.ca/en/)
00:47:56	757/757	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Mar%202023%2020:15:16%20GMT	https://fatfish.ca/wp-content/plugins/prevent-xss-vulnerability/assets/js/script-2.0.1.min.js?ver=1	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/plugins/prevent-xss-vulnerability/assets/js/script-2.0.1.min68b3.js	(from https://fatfish.ca/en/)
00:47:58	192516/192516	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2015:57:55%20GMT	https://fatfish.ca/en/projects/securitas-aviation/	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/securitas-aviation/index.html	(from https://fatfish.ca/en/projects/)
00:47:58	115931/115931	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2020:14:04%20GMT	https://fatfish.ca/wp-content/uploads/2022/10/photo-tmk-911-of-1690-2048x1365.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/10/photo-tmk-911-of-1690-2048x1365.jpg	(from https://fatfish.ca/en/projects/)
00:48:00	202406/202406	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2016:20:04%20GMT	https://fatfish.ca/en/projects/amelie-coderre/	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/amelie-coderre/index.html	(from https://fatfish.ca/en/projects/)
00:48:00	197550/197550	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2015:57:58%20GMT	https://fatfish.ca/en/projects/nexxo/	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/nexxo/index.html	(from https://fatfish.ca/en/projects/)
00:48:00	384239/384239	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2020:12:51%20GMT	https://fatfish.ca/wp-content/uploads/2022/11/xl-368ef870-b2cd-4ec9-a01e-fc1c88a9263d.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/xl-368ef870-b2cd-4ec9-a01e-fc1c88a9263d.jpg	(from https://fatfish.ca/en/projects/)
00:48:00	154382/154382	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2020:14:20%20GMT	https://fatfish.ca/wp-content/uploads/2022/09/camilo-jimenez-qzeno_gq7qa-unsplash-1-scaled-1.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/09/camilo-jimenez-qzeno_gq7qa-unsplash-1-scaled-1.jpg	(from https://fatfish.ca/en/projects/)
00:48:00	194402/194402	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Aug%202023%2016:20:14%20GMT	https://fatfish.ca/en/projects/nectars-notes/	D:/Wenoxo/New%20folder/fishh/fatfish.ca/en/projects/nectars-notes/index.html	(from https://fatfish.ca/en/projects/)
00:48:00	182576/182576	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202023%2020:13:00%20GMT	https://fatfish.ca/wp-content/uploads/2022/11/ets_planstrategique_2022-2027_pavillond.jpg	D:/Wenoxo/New%20folder/fishh/fatfish.ca/wp-content/uploads/2022/11/ets_planstrategique_2022-2027_pavillond.jpg	(from https://fatfish.ca/en/projects/)
